,label,tag,text,attrs,level,url,,,,
0,None,[document],NOT TEXT,{},0,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
1,None,html,NOT TEXT,"{'lang': 'en-US', 'prefix': 'og: http://ogp.me/ns# fb: http://ogp.me/ns/fb#'}",1,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
2,None,head,NOT TEXT,{},2,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
3,None,meta,NOT TEXT,{'charset': 'utf-8'},3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
4,None,meta,NOT TEXT,"{'http-equiv': 'x-ua-compatible', 'content': 'ie=edge'}",3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
5,None,meta,NOT TEXT,"{'name': 'viewport', 'content': 'width=device-width, initial-scale=1, shrink-to-fit=no'}",3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
6,Title,title,FACT CHECK: Did Hillary Clinton Smash Her Phone with a Hammer?,{},3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
7,None,meta,NOT TEXT,"{'name': 'description', 'content': 'According to FBI documents made public in 2016, one of Clinton\'s aides twice disposed of her old mobile devices by ""breaking them in half or destroying them with a hammer.""'}",3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
8,None,meta,NOT TEXT,"{'name': 'news_keywords', 'content': '2016 presidential election, hillary clinton'}",3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
9,None,meta,NOT TEXT,"{'name': 'original-source', 'content': 'https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/'}",3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
10,None,link,NOT TEXT,"{'rel': ['canonical'], 'href': 'https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/'}",3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
11,None,link,NOT TEXT,"{'rel': ['publisher'], 'href': 'https://plus.google.com/+snopes'}",3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
12,None,meta,NOT TEXT,"{'property': 'og:locale', 'content': 'en_US'}",3,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/,,,,
